,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,ind
75,1695814268675,0.92529297,-0.58551025,-0.51690674,14.703125,-17.765625,-12.5,Respeck,Normal walking,-1,s1862623,,82
76,1695814268714,0.69384766,0.08807373,-0.583313,-7.640625,-1.53125,5.15625,Respeck,Normal walking,-1,s1862623,,83
77,1695814268765,1.5661621,0.4459839,-0.36065674,-12.03125,20.625,37.890625,Respeck,Normal walking,-1,s1862623,,84
78,1695814268801,1.3566895,-0.35284424,-0.20904541,17.890625,-2.140625,-5.109375,Respeck,Normal walking,-1,s1862623,,85
79,1695814268837,0.8378906,-0.37213135,-0.014465332,2.765625,-7.890625,-26.484375,Respeck,Normal walking,-1,s1862623,,86
80,1695814268875,0.7233887,0.13201904,0.1437378,-18.328125,-0.515625,10.671875,Respeck,Normal walking,-1,s1862623,,87
81,1695814268912,0.36572266,0.3324585,0.10638428,8.859375,-24.828125,24.5625,Respeck,Normal walking,-1,s1862623,,88
82,1695814268965,0.11254883,-0.1963501,-0.07183838,7.921875,-7.546875,8.59375,Respeck,Normal walking,-1,s1862623,,89
83,1695814268999,0.37060547,-0.5654907,-0.012756348,19.1875,18.140625,-18.28125,Respeck,Normal walking,-1,s1862623,,90
84,1695814269036,0.8847656,-0.23638916,0.09100342,25.625,7.390625,-8.1875,Respeck,Normal walking,-1,s1862623,,91
85,1695814269075,1.6896973,-0.07598877,-0.045959473,20.09375,8.4375,6.8125,Respeck,Normal walking,-1,s1862623,,92
86,1695814269113,1.6442871,-0.41363525,0.061462402,3.875,-12.546875,16.140625,Respeck,Normal walking,-1,s1862623,,93
87,1695814269150,1.4006348,-0.5593872,0.043884277,-11.96875,-8.625,-2.03125,Respeck,Normal walking,-1,s1862623,,94
88,1695814269200,1.1147461,-0.22149658,-0.22369385,-6.15625,-21.59375,1.703125,Respeck,Normal walking,-1,s1862623,,95
89,1695814269237,0.94311523,0.07342529,-0.44195557,10.21875,-30.34375,-15.9375,Respeck,Normal walking,-1,s1862623,,96
90,1695814269275,1.157959,0.47406006,0.17034912,-19.140625,5.671875,-22.140625,Respeck,Normal walking,-1,s1862623,,97
91,1695814269313,1.2436523,0.2921753,-0.097473145,19.6875,7.40625,0.875,Respeck,Normal walking,-1,s1862623,,98
92,1695814269350,1.222168,-0.333313,-0.020324707,-8.765625,-0.625,20.453125,Respeck,Normal walking,-1,s1862623,,99
93,1695814269388,0.7128906,-0.63604736,-0.14508057,-9.03125,-1.5625,-2.875,Respeck,Normal walking,-1,s1862623,,100
94,1695814269440,0.32177734,-0.038879395,-0.013977051,-25.390625,10.859375,-8.265625,Respeck,Normal walking,-1,s1862623,,101
95,1695814269477,0.2788086,0.22332764,0.0692749,-18.109375,8.171875,-8.5625,Respeck,Normal walking,-1,s1862623,,102
96,1695814269514,0.5151367,0.13641357,0.18084717,2.0,7.125,16.171875,Respeck,Normal walking,-1,s1862623,,103
97,1695814269551,0.73217773,-0.09234619,0.16033936,15.015625,0.90625,16.734375,Respeck,Normal walking,-1,s1862623,,104
98,1695814269589,1.0334473,-0.46905518,0.013366699,11.75,10.84375,-15.265625,Respeck,Normal walking,-1,s1862623,,105
99,1695814269626,1.5297852,-0.18414307,0.21453857,-18.21875,4.546875,-3.59375,Respeck,Normal walking,-1,s1862623,,106
100,1695814269676,1.7324219,-0.030578613,0.38397217,-7.96875,-3.015625,-3.625,Respeck,Normal walking,-1,s1862623,,107
101,1695814269716,1.2036133,-0.4282837,-0.006164551,-6.6875,-8.234375,-18.28125,Respeck,Normal walking,-1,s1862623,,108
102,1695814269751,0.8588867,-0.4060669,-0.3123169,-4.578125,3.46875,-5.90625,Respeck,Normal walking,-1,s1862623,,109
103,1695814269787,0.8376465,0.26654053,-0.34283447,-21.078125,-3.484375,18.109375,Respeck,Normal walking,-1,s1862623,,110
104,1695814269825,1.3544922,0.08294678,-0.52545166,0.234375,11.984375,11.484375,Respeck,Normal walking,-1,s1862623,,111
105,1695814269915,1.3127441,-0.22149658,-0.19317627,0.0625,16.390625,-13.3125,Respeck,Normal walking,-1,s1862623,,112
106,1695814269919,1.1369629,-0.237854,0.0033569336,-11.953125,1.578125,-7.0,Respeck,Normal walking,-1,s1862623,,113
107,1695814269952,0.6459961,0.07366943,0.094177246,-21.0625,-5.03125,10.140625,Respeck,Normal walking,-1,s1862623,,114
108,1695814269989,0.20776367,0.20526123,0.13250732,5.046875,-14.484375,20.546875,Respeck,Normal walking,-1,s1862623,,115
109,1695814270026,0.13427734,-0.284729,-0.12237549,14.28125,-5.984375,13.21875,Respeck,Normal walking,-1,s1862623,,116
110,1695814270064,0.4736328,-0.3657837,-0.014465332,-2.0,13.15625,-7.578125,Respeck,Normal walking,-1,s1862623,,117
111,1695814270100,1.0871582,-0.09454346,0.06976318,6.390625,12.71875,-8.65625,Respeck,Normal walking,-1,s1862623,,118
112,1695814270151,1.7043457,0.04119873,0.07318115,33.375,8.0625,7.609375,Respeck,Normal walking,-1,s1862623,,119
113,1695814270187,1.6569824,-0.51153564,0.047058105,20.5625,17.109375,27.296875,Respeck,Normal walking,-1,s1862623,,120
114,1695814270226,1.5849609,-0.83135986,-0.050354004,-5.5625,-2.828125,8.5,Respeck,Normal walking,-1,s1862623,,121
115,1695814270265,1.140625,-0.12774658,-0.567688,45.65625,-44.640625,-29.84375,Respeck,Normal walking,-1,s1862623,,122
116,1695814270300,1.1777344,0.27313232,-0.3352661,11.0,-29.25,-27.265625,Respeck,Normal walking,-1,s1862623,,123
117,1695814270338,0.97216797,0.8788452,0.093444824,-32.734375,23.671875,17.015625,Respeck,Normal walking,-1,s1862623,,124
118,1695814270387,0.9580078,0.09490967,-0.19195557,-11.140625,11.4375,8.546875,Respeck,Normal walking,-1,s1862623,,125
119,1695814270427,1.1704102,-0.9199829,-0.093811035,12.25,-14.859375,-15.109375,Respeck,Normal walking,-1,s1862623,,126
120,1695814270463,0.78149414,-0.26275635,-0.1987915,-51.234375,10.296875,-6.15625,Respeck,Normal walking,-1,s1862623,,127
121,1695814270501,0.5046387,0.2489624,-0.038879395,-37.125,-3.609375,-14.953125,Respeck,Normal walking,-1,s1862623,,128
122,1695814270539,0.2006836,0.19158936,0.047302246,-16.5,0.265625,-11.84375,Respeck,Normal walking,-1,s1862623,,129
123,1695814270577,0.42578125,0.046813965,0.1930542,18.5,0.59375,15.875,Respeck,Normal walking,-1,s1862623,,130
124,1695814270625,0.8154297,-0.19732666,0.09686279,16.375,4.4375,9.796875,Respeck,Normal walking,-1,s1862623,,131
125,1695814270665,0.8996582,-0.38531494,0.078063965,2.953125,14.203125,-10.484375,Respeck,Normal walking,-1,s1862623,,132
126,1695814270701,0.96240234,-0.13409424,0.15570068,-6.390625,3.8125,4.234375,Respeck,Normal walking,-1,s1862623,,133
127,1695814270746,1.7072754,0.09588623,0.230896,20.78125,2.234375,5.71875,Respeck,Normal walking,-1,s1862623,,134
128,1695814270779,1.7824707,-0.40777588,-0.16802979,21.3125,-1.578125,-15.71875,Respeck,Normal walking,-1,s1862623,,135
129,1695814270813,1.2487793,-0.33673096,-0.6045532,-7.203125,-10.515625,1.046875,Respeck,Normal walking,-1,s1862623,,136
130,1695814270865,0.95825195,0.20477295,-0.3670044,-31.9375,-5.96875,18.984375,Respeck,Normal walking,-1,s1862623,,137
131,1695814270901,0.8144531,-0.1416626,-0.36480713,13.484375,7.25,15.1875,Respeck,Normal walking,-1,s1862623,,138
132,1695814270937,0.91503906,-0.3904419,-0.09503174,-17.796875,12.3125,-19.59375,Respeck,Normal walking,-1,s1862623,,139
133,1695814270977,1.2866211,0.11395264,-0.035461426,-25.125,8.28125,-3.265625,Respeck,Normal walking,-1,s1862623,,140
134,1695814271015,0.6347656,0.45355225,0.15618896,-10.1875,-11.328125,9.640625,Respeck,Normal walking,-1,s1862623,,141
135,1695814271049,0.04272461,0.11053467,0.028747559,7.203125,-9.5625,18.5625,Respeck,Normal walking,-1,s1862623,,142
136,1695814271100,0.18579102,-0.5869751,-0.1404419,-4.859375,11.734375,5.875,Respeck,Normal walking,-1,s1862623,,143
137,1695814271137,0.8796387,-0.55670166,0.094177246,-0.0625,13.984375,-18.859375,Respeck,Normal walking,-1,s1862623,,144
138,1695814271176,1.3642578,-0.16143799,0.012145996,16.921875,-13.0,-6.015625,Respeck,Normal walking,-1,s1862623,,145
139,1695814271217,1.5380859,-0.13067627,0.020202637,51.734375,5.71875,4.28125,Respeck,Normal walking,-1,s1862623,,146
